listing_id,title,provider,provider_type,source_url,verified_at,verified_by,verification,cost_one_off_sgd,cost_recurring_sgd,equipment_cost_sgd,venue_name,postal_code,planning_area,nearest_mrt,age_min,age_max,beginner_friendly,join_alone_ok,guest_allowed,commitment,schedule_kind,weekday,start_time,duration_min,first_session,num_sessions,fixed_dates,open_hours_note,vibes,in_incumbent_directory,notes,weekday_evening_available,weekend_available
NLB-5970996,Sewing Starter Session @ Jurong Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5970996,,,unverified,,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T15:00,,artistic|explorative,yes,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971646,Shape Videos That Stick @ Punggol Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971646,,,unverified,,0,0,Punggol Library - MakeIT (Level 4),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T15:00,,explorative,yes,"campus: Punggol Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5972405,Board Games B.F.F.,National Library Board,third_space,https://nlb.libcal.com/event/5972405,,,unverified,,0,0,Punggol Library - Programme Room (Level 5),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-07T14:00,,explorative,yes,"campus: Punggol Library · categories: Areas of Interest > Accessible, Event Type > Others, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5972409,SDO Digital Literacy,National Library Board,third_space,https://nlb.libcal.com/event/5972409,,,unverified,,0,0,Punggol Library - Meeting Room (Level 3),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-08T10:00,,explorative,yes,"campus: Punggol Library · categories: Areas of Interest > Accessible, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5954037,Unplugged | Bedok Library,National Library Board,third_space,https://nlb.libcal.com/event/5954037,,,unverified,,0,0,Bedok Library - Programme Room (Level 3),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-09T15:00,,chill,yes,"campus: Bedok Library · categories: Areas of Interest > Health, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5954036,Unplugged | Woodlands Library,National Library Board,third_space,https://nlb.libcal.com/event/5954036,,,unverified,,0,0,Woodlands Library - Programme Zone (Level 1),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-09T15:00,,chill,yes,"campus: Woodlands Library · categories: Areas of Interest > Health, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971424,PUBLIC TOUR | THE ALBATROSS FILE,National Library Board,third_space,https://nlb.libcal.com/event/5971424,,,unverified,,0,0,National Library Building - Gallery (Level 10),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-10T14:05,,explorative,yes,"campus: National Library Building · categories: Areas of Interest > Singapore, Event Type > Tour, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971094,Sewing Starter Session @ Tampines Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971094,,,unverified,,0,0,Tampines Library - MakeIT (Level 4),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-10T15:00,,artistic|explorative,yes,"campus: Tampines Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971658,Shape Videos That Stick @ Woodlands Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971658,,,unverified,,0,0,Woodlands Library - MakeIT (Level 3),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-10T17:30,,explorative,yes,"campus: Woodlands Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971095,3D Starter Session @ Jurong Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971095,,,unverified,,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-11T12:00,,artistic|explorative,yes,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5914786,[LOLA 2026] Verse & Vibes Pop-up: A Poetry Buffet,National Library Board,third_space,https://nlb.libcal.com/event/5914786,,,unverified,,0,0,Bishan Library - Foyer (Level 1),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-11T13:00,,chill,yes,"campus: Bishan Library · categories: Areas of Interest > Reading, Event Type > Tinkering, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5916422,From Spark to Word: Finding Your Voice Through Poetry | Teens Takeover re:write,National Library Board,third_space,https://nlb.libcal.com/event/5916422,,,unverified,,0,0,Bukit Batok Library - Programme Room (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-11T14:30,,chill,yes,"campus: Bukit Batok Library · categories: Areas of Interest > Reading, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
